Date,Open,High,Low,Close,Adj Close,Volume,biden,trump
07-6,42.630001,42.869999,41.360001,41.630001,40.709026,5825100,50,40
07-10,38.360001,39.82,38.220001,39.689999,38.811947,9218300,51,40
13-7,40.130001,40.509998,39,39.66,38.782608,5887000,49,40
14-7,39.439999,41.34,39.27,41.310001,40.396107,4953500,49,41
22-7,41.07,41.25,40.32,40.889999,40.393314,5158400,55,45
27-7,39.919998,40.48,39.439999,39.77,39.286919,5312400,48,41
29-7,38.970001,39.939999,38.599998,39.939999,39.454853,6305200,50,46
08-3,37.27,37.389999,36.689999,36.709999,36.264088,8064700,49,40
08-4,36.66,38.07,36.470001,37.639999,37.182789,5808100,43,40
08-7,37.869999,38.389999,37.349998,38.299999,37.834774,4444000,49,43
08-10,38.509998,39.669998,38.450001,39.639999,39.158497,5612600,49,39
08-11,40.57,41.150002,39.580002,39.709999,39.227646,7975900,50,41
13-8,41.150002,41.830002,40.619999,40.630001,40.136475,8286400,45,39
14-8,40.220001,41,39.959999,40.82,40.324165,3349800,54,44
21-8,38.639999,38.810001,37.950001,38.16,37.696476,5034200,52,42
24-8,38.34,39.560001,38.09,38.869999,38.39785,5357400,50,41
27-8,37.77,38.279999,37.5,38.150002,37.686596,6231600,49,41
28-8,38.330002,38.459999,37.880001,38.380001,37.913803,5058100,52,42
31-8,38.349998,38.450001,37.57,37.889999,37.429752,6165700,49,41
09-1,37.419998,37.599998,36.619999,37.16,36.708622,6267700,53,47
09-3,36.029999,36.869999,35.84,35.990002,35.552834,8733400,52,42
09-4,36.360001,36.689999,35.669998,35.860001,35.424412,8285300,52,40
09-8,35.299999,35.299999,33.740002,34.060001,33.646278,9338600,52,42
09-9,34.849998,34.849998,34.220001,34.459999,34.041416,6440000,51,46
09-11,32.880001,33.439999,32.639999,33.110001,32.707817,6769100,45,39
14-9,33.240002,33.869999,33.009998,33.52,33.112835,5436000,51,42
17-9,34.400002,36.110001,34.16,36.09,35.651619,13147700,50,44
18-9,35.799999,36.450001,35.400002,35.869999,35.434292,12409800,52,42
22-9,34.34,34.810001,34.009998,34.299999,33.883362,7963000,54,44
23-9,34.360001,34.59,32.880001,32.919998,32.520123,7714500,47,45
24-9,32.810001,34.259998,32.459999,33.599998,33.191864,7084000,45,40
29-9,33.720001,33.779999,32.169998,32.459999,32.065712,6662600,54,41
30-9,32.73,33.290001,32.549999,32.84,32.441097,8111700,53,39
10-1,32.23,32.740002,31.690001,32.43,32.036076,7929600,51,43
