,Date,Open,High,Low,Close,Adj Close,Volume, biden, trump
5,2020-07-09,55.84,56.5,52.830002,55.790001,55.790001,3176700,52,37
6,2020-07-10,54.830002,55.709999,54.099998,55.43,55.43,2357700,51,41
11,2020-07-17,58,59.75,57.740002,59.310001,59.310001,3150100,45,38
13,2020-07-21,64.059998,64.699997,59.68,61.099998,61.099998,4303300,51,41
14,2020-07-22,61.189999,63.490002,60.959999,62.080002,62.080002,2719500,48,42
19,2020-07-29,58.02,60.360001,57.709999,59.119999,59.119999,3079800,48,45
22,2020-08-03,60.889999,61.93,59.119999,61.209999,61.209999,3000200,53,42
25,2020-08-06,75.300003,76.75,71.099998,71.370003,71.370003,5019900,51,41
29,2020-08-12,68.68,71.779999,67.57,71.190002,71.190002,2647900,52,42
30,2020-08-13,70.910004,76.489998,70.260002,74.879997,74.879997,3322100,50,46
31,2020-08-14,75.620003,76.690002,72.809998,73.160004,73.160004,2367000,48,44
36,2020-08-21,73.279999,74.800003,72.809998,73.139999,73.139999,1560000,51,43
38,2020-08-25,73.300003,76.610001,72.5,75.93,75.93,2282600,47,38
39,2020-08-26,76.660004,78.529999,74.400002,75.239998,75.239998,1838800,49,45
40,2020-08-27,76.5,76.5,72.019997,73.440002,73.440002,4370700,50,43
41,2020-08-28,74.139999,78.529999,73.540001,76.040001,76.040001,3301400,47,40
42,2020-08-31,76.68,79.529999,75.800003,77.230003,77.230003,2767300,52,42
44,2020-09-02,80,80.470001,75.089996,77.019997,77.019997,2607900,48,46
45,2020-09-03,75.239998,75.480003,65.129997,67.800003,67.800003,5850700,51,44
49,2020-09-10,67.93,70.089996,66,66.099998,66.099998,2787000,48,43
50,2020-09-11,67.779999,68.099998,64.199997,65.099998,65.099998,2584800,50,41
54,2020-09-17,69.769997,70.190002,65.889999,66.870003,66.870003,3318700,50,44
55,2020-09-18,67.720001,69.860001,65.419998,68.269997,68.269997,12892600,51,42
56,2020-09-21,65.510002,70.82,65.410004,70.720001,70.720001,3082400,48,44
57,2020-09-22,71,72.32,67.489998,72.230003,72.230003,3109300,49,41
58,2020-09-23,71.849998,74.760002,69.440002,70.269997,70.269997,2796900,51,43
59,2020-09-24,69.32,70.980003,67.529999,69.410004,69.410004,2064700,51,45
61,2020-09-28,75.139999,79.730003,74.699997,78.139999,78.139999,3455600,49,46
62,2020-09-29,78.199997,83.370003,78.199997,80.800003,80.800003,4215100,47,40
63,2020-09-30,81.370003,84.720001,81.269997,82.589996,82.589996,3351600,52,40
64,2020-10-01,85.559998,89.519997,84.410004,89.510002,89.510002,4046300,57,41
