Date,Open,High,Low,Close,Adj Close,Volume,biden,trump
07-6,54,54.689999,52.619999,53.07,52.581711,284500,50,40
07-10,54.610001,55.290001,54.099998,54.950001,54.444412,703100,51,40
13-7,55.959999,56.633999,55.279999,55.939999,55.425301,797800,49,40
14-7,55.759998,58,55.549999,57.59,57.060123,860700,49,41
22-7,57.650002,58.610001,57.470001,58.490002,57.951843,535300,55,45
27-7,60.07,60.73,59.610001,60.25,59.695648,702300,48,41
29-7,60.759998,63.259998,60.615002,62.540001,61.964577,864100,50,46
08-3,62.200001,62.388,61.540001,61.990002,61.41964,402100,49,40
08-4,62,63.130001,61.900002,62.82,62.242001,508000,43,40
08-7,62.470001,63.779999,62.299999,63.169998,63.169998,446000,49,43
08-10,63.18,64.410004,63.082001,63.549999,63.549999,499600,49,39
08-11,63,63.150002,60.560001,61.799999,61.799999,931400,50,41
13-8,62.759998,63.459999,62.287998,62.650002,62.650002,363500,45,39
14-8,62.509998,62.689999,61.59,62.34,62.34,431600,54,44
21-8,62.099998,62.560001,61.689999,62.029999,62.029999,432100,52,42
24-8,62.080002,62.365002,60.41,61.849998,61.849998,431200,50,41
27-8,60.450001,61.23,59.91,60.709999,60.709999,738300,49,41
31-8,60.560001,60.84,59.875,60.32,60.32,508900,49,41
09-1,60.389999,60.689999,58.549999,59.740002,59.740002,695200,53,47
09-3,58.560001,59.02,57.369999,57.689999,57.689999,1866500,52,42
09-4,58,58.099998,54.330002,56.029999,56.029999,750500,52,40
09-8,56.099998,56.754002,55.150002,55.259998,55.259998,432300,52,42
09-9,55.720001,57.68,55.616001,56.700001,56.700001,512500,51,46
09-11,57.5,57.900002,56.639999,57.84,57.84,877400,45,39
14-9,58.299999,58.499001,57.759998,58.220001,58.220001,733800,51,42
17-9,58,58.279999,57,57.540001,57.540001,367600,50,44
18-9,57.5,58.240002,57.310001,57.66,57.66,770500,52,42
22-9,57.310001,57.720001,56.715,57.419998,57.419998,397900,54,44
23-9,57.32,57.499001,56.209999,56.27,56.27,282700,47,45
24-9,56.27,57.23,55.130001,57.169998,57.169998,430700,45,40
29-9,58.299999,59.369999,57.869999,59.029999,59.029999,386300,54,41
30-9,59.34,60.68,58.369999,59.959999,59.959999,563300,53,39
10-1,60.110001,60.549999,58.470001,59.790001,59.790001,538100,51,43
