Date,Open,High,Low,Close,Adj Close,Volume,biden,trump
07-6,9.26,9.28,8.76,8.87,8.87,371900,50,40
07-10,7.97,8.13,7.705,7.9,7.9,609600,51,40
13-7,7.97,8.04,7.42,7.55,7.55,779400,49,40
14-7,7.5,7.89,7.35,7.85,7.85,528900,49,41
22-7,8.48,8.53,8.17,8.29,8.29,435300,55,45
27-7,7.73,7.73,7.05,7.08,7.08,799000,48,41
29-7,7.02,7.2,6.95,7.1,7.1,480100,50,46
08-3,6.83,7.22,6.78,6.97,6.97,791200,49,40
08-4,7.01,7.65,6.99,7.52,7.52,725300,43,40
08-7,7.14,7.45,7.03,7.44,7.44,673900,49,43
08-10,7.6,8.26,7.6,8.06,8.06,850800,49,39
08-11,8.4,8.68,7.98,8.03,8.03,814300,50,41
13-8,8.46,8.88,8.31,8.45,8.45,977100,45,39
14-8,8.31,8.76,8.29,8.72,8.72,467200,54,44
21-8,7.57,7.66,7.3,7.32,7.32,822900,52,42
24-8,7.35,7.66,7.175,7.49,7.49,1019000,50,41
27-8,7.43,7.538,7.23,7.43,7.43,568200,49,41
28-8,7.5,7.68,7.39,7.64,7.64,477500,52,42
31-8,7.65,7.76,7.39,7.51,7.51,359700,49,41
09-1,7.42,7.49,7.08,7.1,7.1,553800,53,47
09-3,6.85,7.13,6.81,6.89,6.89,489000,52,42
09-4,7.02,7.2,6.67,6.88,6.88,503300,52,40
09-8,6.65,6.711,6.37,6.45,6.45,685300,52,42
09-9,6.57,6.62,6.21,6.27,6.27,910900,51,46
09-11,5.94,5.95,5.62,5.72,5.72,718700,45,39
14-9,5.74,5.75,5.525,5.65,5.65,1237000,51,42
17-9,6.23,6.79,6.05,6.72,6.72,1138200,50,44
18-9,6.74,6.87,6.46,6.68,6.68,986900,52,42
22-9,6.15,6.28,5.9,5.97,5.97,285900,54,44
23-9,5.95,6.03,5.57,5.58,5.58,686200,47,45
24-9,5.58,5.76,5.39,5.56,5.56,412700,45,40
29-9,6.25,6.27,5.98,6.26,6.26,626200,54,41
30-9,6.32,6.58,6.28,6.45,6.45,658600,53,39
10-1,6.39,6.5,6.22,6.37,6.37,418700,51,43
