,Date,Open,High,Low,Close,Adj Close,Volume, biden, trump
5,2020-07-09,41.970001,42.080002,40.68,41.389999,41.389999,615500,52,37
6,2020-07-10,41.380001,41.419998,40.84,41.369999,41.369999,445100,51,41
11,2020-07-17,43.220001,43.900002,42.93,43.889999,43.889999,568400,45,38
13,2020-07-21,46.450001,46.450001,45.139999,45.52,45.52,1075500,51,41
14,2020-07-22,45.32,45.889999,45.200001,45.73,45.73,326100,48,42
19,2020-07-29,44.970001,45.34,44.639999,44.93,44.93,284900,48,45
22,2020-08-03,45.119999,46.18,44.709999,46.049999,46.049999,1016000,53,42
25,2020-08-06,50.73,51.23,49.619999,50.119999,50.119999,685200,51,41
29,2020-08-12,49.959999,51.580002,49.77,51.110001,51.110001,698800,52,42
30,2020-08-13,51.41,52.759998,51.330002,52.41,52.41,625200,50,46
31,2020-08-14,52.23,52.610001,51.25,51.560001,51.560001,503200,48,44
36,2020-08-21,52.009998,52.68,51.75,52.439999,52.439999,322800,51,43
38,2020-08-25,54.23,55.110001,53.639999,55.110001,55.110001,1102600,47,38
39,2020-08-26,55.139999,55.720001,54.77,54.919998,54.919998,757700,49,45
40,2020-08-27,55.259998,55.669998,54.68,55.060001,55.060001,632100,50,43
41,2020-08-28,55.5,57.189999,55.27,56.860001,56.860001,1360200,47,40
42,2020-08-31,57.099998,57.73,56.330002,56.790001,56.790001,749800,52,42
44,2020-09-02,57.630001,57.950001,55.700001,56.98,56.98,995900,48,46
45,2020-09-03,56.189999,56.279999,52.040001,52.59,52.59,2644000,51,44
49,2020-09-10,53.209999,53.380001,51.689999,51.93,51.93,820300,48,43
50,2020-09-11,53.110001,53.59,52.130001,52.720001,52.720001,386400,50,41
54,2020-09-17,55.57,55.630001,54.369999,54.810001,54.810001,450800,50,44
55,2020-09-18,55.66,56.310001,54.68,55.220001,55.220001,464100,51,42
56,2020-09-21,53.27,55.200001,52.889999,55.189999,55.189999,621200,48,44
57,2020-09-22,55.189999,55.490002,54.209999,55.450001,55.450001,308300,49,41
58,2020-09-23,56.34,57.689999,56.080002,56.290001,56.290001,647100,51,43
59,2020-09-24,55.619999,56.360001,54.23,55.77,55.77,946700,51,45
61,2020-09-28,58.990002,60.57,58.700001,60.540001,60.540001,1478800,49,46
62,2020-09-29,61.330002,62.799999,61.189999,62.52,62.52,1181000,47,40
63,2020-09-30,63.369999,65.760002,63.110001,64.790001,64.790001,1711000,52,40
64,2020-10-01,66.019997,67.18,65.169998,67.18,67.18,1545200,57,41
