,Date,Open,High,Low,Close,Adj Close,Volume, biden, trump
5,2020-07-09,52.790001,52.82,49.869999,50.220001,49.344746,6920900,52,37
6,2020-07-10,50.220001,53.66,50.16,53.650002,52.71497,5180700,51,41
11,2020-07-17,56.98,57.919998,55.32,55.470001,54.503246,3093300,45,38
13,2020-07-21,55.299999,57.939999,55.02,57.580002,56.576473,4051300,51,41
14,2020-07-22,56.560001,57.939999,56.02,57.07,56.075359,2741100,48,42
19,2020-07-29,57.599998,59.759998,57.139999,59.689999,58.649696,4510900,48,45
22,2020-08-03,55.23,55.66,53.580002,53.91,53.91,5396500,53,42
25,2020-08-06,51.360001,52.98,51.099998,51.48,51.48,3924600,51,41
29,2020-08-12,54.650002,55.150002,53.5,55.119999,55.119999,3139900,52,42
30,2020-08-13,54.32,54.939999,53.099998,53.189999,53.189999,3411000,50,46
31,2020-08-14,52.849998,54.52,52.650002,54.459999,54.459999,3693700,48,44
36,2020-08-21,52.560001,53.23,52.040001,52.619999,52.619999,2936800,51,43
38,2020-08-25,55.150002,55.810001,53.700001,54.25,54.25,3380900,47,38
39,2020-08-26,54.150002,54.66,53.259998,53.700001,53.700001,4065200,49,45
40,2020-08-27,53.830002,53.950001,52.330002,53.439999,53.439999,3453600,50,43
41,2020-08-28,53.639999,55.02,53.639999,54.889999,54.889999,3805600,47,40
42,2020-08-31,55.110001,55.25,52.529999,52.59,52.59,4486200,52,42
44,2020-09-02,52.599998,53.380001,51.900002,52.91,52.91,3959500,48,46
45,2020-09-03,52.990002,54.48,51.66,52.330002,52.330002,3624200,51,44
49,2020-09-10,47.869999,48.060001,45.380001,45.630001,45.630001,4870800,48,43
50,2020-09-11,45.59,46.779999,45.139999,46.389999,46.389999,3969400,50,41
54,2020-09-17,48.049999,49.029999,47.84,49,49,6633400,50,44
55,2020-09-18,48.540001,49.099998,47.779999,48.709999,48.709999,8200400,51,42
56,2020-09-21,47.18,47.900002,46.299999,47.360001,47.360001,6162500,48,44
57,2020-09-22,47.25,47.950001,47,47.419998,47.419998,4799600,49,41
58,2020-09-23,47.439999,47.450001,44.470001,44.509998,44.509998,4627500,51,43
59,2020-09-24,44.060001,45.549999,42.93,44.580002,44.580002,3818100,51,45
61,2020-09-28,44.82,45.57,44.630001,44.82,44.82,3247900,49,46
62,2020-09-29,44.91,44.990002,43.110001,43.41,43.41,4385200,47,40
63,2020-09-30,43.57,44.400002,42.93,43.32,43.32,4757000,52,40
64,2020-10-01,41.619999,42,39.720001,40.279999,40.279999,10606700,57,41
