,Date,Open,High,Low,Close,Adj Close,Volume, biden, trump
5,2020-07-09,47.279999,47.439999,44.279999,44.34,43.551163,5209700,52,37
6,2020-07-10,44.34,45.57,44.040001,45.400002,44.592304,6245700,51,41
11,2020-07-17,47.830002,48.889999,46.860001,47.16,46.689903,2949500,45,38
13,2020-07-21,48.700001,50.990002,48.700001,50.419998,49.917408,4584300,51,41
14,2020-07-22,49.610001,50.48,49.009998,50.189999,49.689701,2565000,48,42
19,2020-07-29,47.389999,48.52,46.950001,48.5,48.016548,3016100,48,45
22,2020-08-03,46.860001,47.07,45.91,46.369999,45.90778,4004500,53,42
25,2020-08-06,50.41,51.080002,50.259998,50.889999,50.382721,3290600,51,41
29,2020-08-12,50.330002,50.34,48.619999,49.09,48.600666,4644300,52,42
30,2020-08-13,48.77,49.150002,47.380001,47.419998,46.947311,3394600,50,46
31,2020-08-14,47.349998,47.98,46.93,47.970001,47.491833,3498900,48,44
36,2020-08-21,44.080002,44.119999,42.98,43.389999,42.957485,4166400,51,43
38,2020-08-25,44.98,45.130001,44.049999,44.380001,43.937618,3263300,47,38
39,2020-08-26,44.240002,44.360001,43.009998,43.259998,42.828777,3054000,49,45
40,2020-08-27,43.610001,45.099998,43.200001,44.950001,44.501934,5453800,50,43
41,2020-08-28,45.310001,46.25,44.759998,46.209999,45.749374,3365900,47,40
42,2020-08-31,46.220001,46.25,45.009998,45.34,44.888046,3017300,52,42
44,2020-09-02,44.720001,45.139999,43.529999,43.700001,43.264393,5249900,48,46
45,2020-09-03,43.709999,44.599998,42.779999,43.130001,42.700077,5188200,51,44
49,2020-09-10,41.82,41.82,37.990002,38,37.621212,7457200,48,43
50,2020-09-11,38.48,39.189999,37.900002,39.049999,38.660744,5658300,50,41
54,2020-09-17,39.860001,41.200001,39.560001,41.189999,40.779411,3900500,50,44
55,2020-09-18,40.799999,41.549999,40.310001,40.709999,40.304199,5865800,51,42
56,2020-09-21,39.5,40.110001,38.290001,38.810001,38.423138,4719900,48,44
57,2020-09-22,39.07,39.700001,37.98,38.450001,38.066727,3767800,49,41
58,2020-09-23,38.709999,39.080002,36.34,36.380001,36.017361,4041400,51,43
59,2020-09-24,36.18,37.439999,35.330002,36.650002,36.284672,4431700,51,45
61,2020-09-28,38.369999,38.369999,37.259998,37.439999,37.066792,4169600,49,46
62,2020-09-29,37.240002,37.470001,34.900002,36.189999,35.829254,7017000,47,40
63,2020-09-30,36.439999,36.759998,35.799999,35.939999,35.581745,6033700,52,40
64,2020-10-01,35.330002,35.82,34.619999,34.860001,34.512512,5085300,57,41
