,Date,Open,High,Low,Close,Adj Close,Volume, biden, trump
5,2020-07-09,13.38,13.38,12.43,12.46,12.46,941500,52,37
6,2020-07-10,12.5,13.55,12.5,13.29,13.29,942000,51,41
11,2020-07-17,13.54,13.88,13.17,13.18,13.18,923500,45,38
13,2020-07-21,13.4,13.66,13.18,13.29,13.29,675200,51,41
14,2020-07-22,13.08,13.44,12.98,13.39,13.39,546300,48,42
19,2020-07-29,14.69,15.73,14.69,15.56,15.56,1028600,48,45
22,2020-08-03,14.98,15.12,14.76,15.07,15.07,434900,53,42
25,2020-08-06,15.6,15.71,15.11,15.2,15.2,442100,51,41
29,2020-08-12,15.56,15.99,15.3,15.9,15.9,530200,52,42
30,2020-08-13,15.15,15.79,14.68,14.9,14.9,1798300,50,46
31,2020-08-14,14.1,14.77,13.4,14.67,14.67,1520100,48,44
36,2020-08-21,13,13.14,12.83,12.99,12.99,576300,51,43
38,2020-08-25,12.91,13.09,12.55,12.69,12.69,498400,47,38
39,2020-08-26,12.6,12.71,11.9,12.17,12.17,1454700,49,45
40,2020-08-27,12.1,12.1,11.55,11.75,11.75,840900,50,43
41,2020-08-28,11.65,12.34,11.48,12.33,12.33,775800,47,40
42,2020-08-31,12.33,12.74,12.16,12.54,12.54,590000,52,42
44,2020-09-02,12,12.01,11.16,11.63,11.63,1052300,48,46
45,2020-09-03,11.5,11.74,11.19,11.39,11.39,644200,51,44
49,2020-09-10,12.2,12.26,12,12.24,12.24,414400,48,43
50,2020-09-11,12.38,13.2,12.29,12.65,12.65,910600,50,41
54,2020-09-17,12.31,12.66,12.1,12.19,12.19,269400,50,44
55,2020-09-18,12.23,12.42,12.06,12.14,12.14,405500,51,42
56,2020-09-21,11.85,11.87,11.11,11.27,11.27,598600,48,44
57,2020-09-22,11.33,11.45,10.7,10.87,10.87,761300,49,41
58,2020-09-23,10.89,11.09,10.05,10.42,10.42,561400,51,43
59,2020-09-24,10.43,10.64,9.92,10.4,10.4,510400,51,45
61,2020-09-28,10.75,10.88,10.41,10.72,10.72,386400,49,46
62,2020-09-29,10.73,10.99,10.52,10.84,10.84,410500,47,40
63,2020-09-30,10.94,11.3,10.82,10.84,10.84,458800,52,40
64,2020-10-01,10.8,11.04,10.63,11.03,11.03,395300,57,41
