Date,Open,High,Low,Close,Adj Close,Volume,biden,trump
07-6,255.337997,275.558014,253.207993,274.31601,274.31601,102849500,50,40
07-10,279.200012,309.783997,275.201996,308.929993,308.929993,116688000,51,40
13-7,331.799988,358.997986,294.221985,299.411987,299.411987,194927000,49,40
14-7,311.200012,318,286.200012,303.359985,303.359985,117090500,49,41
22-7,319.799988,325.283997,312.399994,318.466003,318.466003,70805500,55,45
27-7,287,309.588013,282.600006,307.920013,307.920013,80243500,48,41
29-7,300.200012,306.962006,297.399994,299.821991,299.821991,47134500,50,46
08-3,289.839996,301.962006,288.876007,297,297,44046500,49,40
08-4,299.002014,305.481995,292.399994,297.399994,297.399994,42075000,43,40
08-7,299.90799,299.950012,283.002014,290.541992,290.541992,44482000,49,43
08-10,289.600006,291.5,277.167999,283.713989,283.713989,37611500,49,39
08-11,279.200012,284,273,274.877991,274.877991,43129000,50,41
13-8,322.200012,330.235992,313.451996,324.200012,324.200012,102126500,45,39
14-8,332.997986,333.76001,325.328003,330.141998,330.141998,62888000,54,44
21-8,408.951996,419.097992,405.01001,409.996002,409.996002,107448000,52,42
24-8,425.256012,425.799988,385.503998,402.839996,402.839996,100318000,50,41
27-8,436.09201,459.119995,428.5,447.75,447.75,118465000,49,41
28-8,459.023987,463.697998,437.303986,442.679993,442.679993,100406000,52,42
31-8,444.609985,500.140015,440.109985,498.320007,498.320007,118374400,49,41
09-1,502.140015,502.48999,470.51001,475.049988,475.049988,90119400,53,47
09-3,407.230011,431.799988,402,407,407,87596100,52,42
09-4,402.809998,428,372.019989,418.320007,418.320007,110321900,52,40
09-8,356,368.73999,329.880005,330.209991,330.209991,115465700,52,42
09-9,356.600006,369,341.51001,366.279999,366.279999,79465800,51,46
09-11,381.940002,382.5,360.5,372.720001,372.720001,60717500,45,39
14-9,380.950012,420,373.299988,419.619995,419.619995,83020600,51,42
17-9,415.600006,437.790009,408,423.429993,423.429993,76779200,50,44
18-9,447.940002,451,428.799988,442.149994,442.149994,86406800,52,42
22-9,429.600006,437.76001,417.600006,424.230011,424.230011,79580800,54,44
23-9,405.160004,412.149994,375.880005,380.359985,380.359985,95074200,47,45
24-9,363.799988,399.5,351.299988,387.790009,387.790009,96561100,45,40
29-9,416,428.5,411.600006,419.070007,419.070007,50219300,54,41
30-9,421.320007,433.929993,420.470001,429.01001,429.01001,48145600,53,39
10-1,440.76001,448.880005,434.420013,448.160004,448.160004,50741500,51,43
